year,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_total_goals,ht_total_goals,which_half_more_goals,both_teams_to_score
2010,Group,Chile,Switzerland,1,0,0,0,1,0,second,no
2010,Group,Spain,Honduras,2,0,1,0,2,1,same,no
2010,Group,Mexico,Uruguay,0,1,0,1,1,1,first,no
2010,Group,France,South Africa,1,2,0,2,3,2,first,yes
2010,Group,Nigeria,Korea Republic,2,2,1,1,4,2,same,yes
2010,Group,Greece,Argentina,0,2,0,0,2,0,second,no
2010,Group,Slovenia,England,0,1,0,1,1,1,first,no
2010,Group,USA,Algeria,1,0,0,0,1,0,second,no
2010,Group,Ghana,Germany,0,1,0,0,1,0,second,no
2010,Group,Australia,Serbia,2,1,0,0,3,0,second,yes
2010,Group,Slovakia,Italy,3,2,1,0,5,1,second,yes
2010,Group,Paraguay,New Zealand,0,0,0,0,0,0,same,no
2010,Group,Denmark,Japan,1,3,0,2,4,2,same,yes
2010,Group,Cameroon,Netherlands,1,2,0,1,3,1,second,yes
2010,Group,Portugal,Brazil,0,0,0,0,0,0,same,no
2010,Group,Korea DPR,C�te d'Ivoire,0,3,0,2,3,2,first,no
2010,Group,Chile,Spain,1,2,0,2,3,2,first,yes
2010,Group,Switzerland,Honduras,0,0,0,0,0,0,same,no
2010,Round of 16,Uruguay,Korea Republic,2,1,1,0,3,1,second,yes
2010,Round of 16,USA,Ghana,1,2,0,0,3,0,second,yes
2010,Round of 16,Germany,England,4,1,2,1,5,3,first,yes
2010,Round of 16,Argentina,Mexico,3,1,2,0,4,2,same,yes
2010,Round of 16,Netherlands,Slovakia,2,1,1,0,3,1,second,yes
2010,Round of 16,Brazil,Chile,3,0,2,0,3,2,first,no
